Name of the role,Department,Location,Job type,Job description,URL
Finance Manager (m/f/d),Finance,Remote,,"

We are looking for a  Finance Manager (m/f/d) to join our in-house finance team. As a Finance Manager you will have a strong impact on growing Appinio’s business further, making sure that our accounting and reporting systems are scalable and lay the foundation for company decision making. You'll be amazing for this role if you have a high passion for technology, love startups and want a broad finance role covering finance, operations and commercials.
 
YOUR TASKS

Develop and implement scalable accounting & reporting systems recording our financial activities in our subsidiaries in the UK, US and Spain and support the same in Germany
Company-wide financial planning, accounting operations, and development of business insights
Grow the business through advanced financial modeling and development of business cases for strategic growth opportunities
Support annual budgeting, revenue forecasting as well as controlling processes our cash-flow planning and analysis
Coordinate and manage external stakeholders, prepare and maintain internal reporting, dashboards and data integrity in order to drive strong strategic company decision making
The ideal candidate has first experiences with SaaS businesses, accounting operations, and is passionate about fostering strong business partner relationships with leadership teams.

YOUR PROFILE

Minimum of 2-3 years full time experience, supplemented by internships and similar placements
Ideal candidate is experienced in the headquarter function of large multinational corporate, Big4 or management consulting experience preferred
KPI-driven, analytical as well as an entrepreneurial mindset
Fluency in English, German native-level is a plus
Positive, helpful and highly motivated attitude
Curious by nature and loves creative problem solving such as diving into large datasets to find patterns and creative ways to improve the business.

OUR BENEFITS 

Flexibility Policy - meaning you are free to take off as many paid vacation days as you need, no maximum
Work-from-anywhere Policy - meaning you have the chance to develop our amazing product anywhere in the world -within reason ;-)
Subsidized Urban Sports Club membership
All the hardware you need and your own MacBook
In case you're located in Hamburg you'll get a subsidized HVV ticket or if you're located in Hamburg or Berlin you'll get access to a mobility budget with the RYDES app
In case you're located in Hamburg you'll get access to our beautiful office in Hamburg's city center - terrace and BBQ included ;-)













ABOUT APPINIO


At Appinio, we help companies always make the right decisions through real-time market research. As the world’s largest opinion network, we collect millions of responses from consumers every day to allow our clients to turn their questions to insights in minutes. Over 2000+ companies worldwide rely on us to understand how their consumers think.
 
We started small in Hamburg back in 2014 but we’re now humbled to call the world our playground, with over +200 employees spread across 25 countries, 2000 international clients and a panel reach of 7 million, globally.
 
Appinio is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
 






Learn more about us:

 appinio.com    LinkedIn    Xing     Kununu    Instagram






",https://boards.eu.greenhouse.io/appinio/jobs/4051877101
Head of Content Operations (m/f/d),Marketing,Remote,,"


YOUR ROLE


We are looking for a visionary Head of Content Operations (m/f/d) to join our amazing marketing team and be part of Appinio’s future growth around the world.
In this role, you will have the responsibility to define and develop Appinio’s future content propositions by combining insights with creative ideas. In order to spread the excitement across several markets and industries, you will collaborate with our marketing, design, research and business development teams. You will support scaling our content creation processes to a global level to match the rocketing growth of Appinio’s products. 
 
YOUR TASKS

Manage a team of content marketers and work alongside a team of design, research, sales and business development colleagues to develop top notch content that excites our target audiences & is aligned with our marketing goals
Leading the planning and execution of our global content creation projects in collaboration with our internal content marketing specialists as well as partners or external content creators
Setting up and leading an organisation structure, with which teams will produce industry specific content at speed, without compromising on standard of work
Creation of global and local content plans based on market needs and in cooperation with the respective country managers and sales directors

YOUR PROFILE

You have a degree in Marketing, Communications, Journalism or similar
You bring at least 3+ work years experience in project management, content operations and creative planning
Exceptional organizational and process skills; you love creating order out of chaos and collaborating with creative teams to get things done
Experience working in digital marketing and B2B, ideally in SaaS or Tech and within multinational organizations
Leadership experience and strong communication skills; you have a talent for grasping new and complex subjects quickly, as well as proven editing and writing skills.

OUR BENEFITS 

Flexibility Policy - meaning you are free to take off as many paid vacation days as you need, no maximum
Work-from-anywhere Policy - meaning you have the chance to develop our amazing product anywhere in the world -within reason ;-)
Subsidized Urban Sports Club membership
All the hardware you need and your own MacBook
In case you're located in Hamburg you'll get a subsidized HVV ticket or if you're located in Hamburg or Berlin you'll get access to a mobility budget with the RYDES app
In case you're located in Hamburg you'll get access to our beautiful office in Hamburg's city center - terrace and BBQ included ;-)










 








ABOUT APPINIO


At Appinio, we help companies always make the right decisions through real-time market research. As the world’s largest opinion network, we collect millions of responses from consumers every day to allow our clients to turn their questions to insights in minutes. Over 2000+ companies worldwide rely on us to understand how their consumers think.
 
We started small in Hamburg back in 2014 but we’re now humbled to call the world our playground, with over +200 employees spread across 25 countries, 2000 international clients and a panel reach of 7 million, globally.
 
Appinio is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
 






Learn more about us:

 appinio.com    LinkedIn    Xing     Kununu    Instagram






",https://boards.eu.greenhouse.io/appinio/jobs/4047632101
Flutter Developer (m/f/d),IT,Remote,,"


YOUR ROLE




We are looking for a Flutter Developer (m/f/d), who is enthusiastic about bringing in their own ideas. As part of the 12-headed Developer team, you will focus on the further development of our Appinio Mobile App. 
YOUR TASKS

Maintenance and further development of the Appinio Mobile App based on Flutter
Support of the app development team during testing of new features
Independent simulation of possible errors and bug fixing 
Cooperation with Design in the optimization of the surface

 
YOUR PROFILE

Studies in IT, business informatics or similar fields
Knowledge of app and web development
A minimum of 1 year hands-on experience in the development with Flutter 
Quick comprehension and independent working method

 
 HOW WE WORK

Small and agile product teams
Smart, ambitious and awesome coworkers
No unnecessary meetings - we value focus time
Using a state of the art tech-stack and tools (Angular 12/13, NodeJs, MongoDB, Docker, AWS, Slack, ClickUp, Github, Hubspot)

 
OUR BENEFITS 

Flexibility Policy - meaning you are free to take off as many paid vacation days as you need, no maximum
Work-from-anywhere Policy - meaning you have the chance to develop our amazing product anywhere in the world -within reason ;-)
Subsidized Urban Sports Club membership
All the hardware you need and your own MacBook
In case you're located in Hamburg you'll get a subsidized HVV ticket or if you're located in Hamburg or Berlin you'll get access to a mobility budget with the RYDES app
In case you're located in Hamburg you'll get access to our beautiful office in Hamburg's city center - terrace and BBQ included ;-)












 
Want to take a look at our amazing Flutter packages? Go to https://pub.dev/publishers/appinio.com/packages and discover what the Appinio Mobile App team has been working on ;)
 
 ABOUT APPINIO








At Appinio, we help companies always make the right decisions through real-time market research. As the world’s largest opinion network, we collect millions of responses from consumers every day to allow our clients to turn their questions to insights in minutes. Over 2000+ companies worldwide rely on us to understand how their consumers think.
 
We started small in Hamburg back in 2014 but we’re now humbled to call the world our playground, with over +200 employees spread across 25 countries, 2000 international clients and a panel reach of 7 million, globally.
 
Appinio is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
 
 






Learn more about us:

 appinio.com    LinkedIn    Xing     Kununu    Instagram








 




",https://boards.eu.greenhouse.io/appinio/jobs/4005417101
(Senior) SEO Manager (m/f/d),Marketing,Remote,,"


YOUR ROLE


We are looking for a driven, independent, charismatic and inquisitive (Senior) SEO Manager (m/f/d) to run our end-to-end SEO activities across 5 markets. In this role you will work closely together with our Head of Marketing and Content Team and take our SEO activities and strategies to the next level.
We are searching for someone with an ideal ""can-do"" attitude who is equally comfortable managing all day-to-day activities with the support of a small team and working at a strategic level with our Country Management. 






YOUR TASKS



Plan, develop and implement successful SEO strategies
Continuously identity new growth opportunities based on industry and market trends and extensive keyword analysis
Manage content freelancers and/or inhouse content team on content production for core landing pages and our blog
Manage SEO projects and coordination with all related stakeholders such as marketing, product, content, PR
Increase visibility for all domains with the focus on driving more organic traffic and qualified leads
Monitor rankings and analyze performance, continuously optimizing based on best practices
Perform monthly site audits, review technical SEO issues and work with Engineering and Product on optimisation of the website.
Stay on top of market and industry trends and the competitive landscape







YOUR PROFILE



Minimum 3 years of SEO experience in a rapidly growing start-up environment, experience in market research is a plus
Experience in B2B is a plus
Familiarity with the EU marketing landscape (US is a plus)
Analytical and data driven mindset
Naturally inquisitive and on top of industry trends
Native level in English (German is a plus)
Good project management and communication skills
Independent and hands-on approach to work, teamplayer

OUR BENEFITS 

Flexibility Policy - meaning you are free to take off as many paid vacation days as you need, no maximum
Work-from-anywhere Policy - meaning you have the chance to develop our amazing product anywhere in the world -within reason ;-)
Subsidize urban sports membership
All the hardware you need and your own MacBook
In case you're located in Hamburg you'll get a subsidized HVV ticket or if you're located in Hamburg or Berlin you'll get access to a mobility budget with the RYDES app
In case you're located in Hamburg you'll get access to our beautiful office in Hamburg's city center - terrace and BBQ included ;-)

 











ABOUT APPINIO


At Appinio, we help companies always make the right decisions through real-time market research. As the world’s largest opinion network, we collect millions of responses from consumers every day to allow our clients to turn their questions to insights in minutes. Over 2000+ companies worldwide rely on us to understand how their consumers think.
 
We started small in Hamburg back in 2014 but we’re now humbled to call the world our playground, with over +200 employees spread across 25 countries, 2000 international clients and a panel reach of 7 million, globally.
 
Appinio is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
 






Learn more about us:

 appinio.com    LinkedIn    Xing     Kununu    Instagram








 




",https://boards.eu.greenhouse.io/appinio/jobs/4025669101
(Senior) PR & Communications Manager (m/f/d),Marketing,Remote,,"



YOUR ROLEWe are looking for an experienced (Senior) PR & Communications Manager (m/f/d) to join our amazing Marketing team and be in charge of Appinio’s PR activities. We are looking for someone who is extremely driven, full of energy and ideas with a passion for Public Relations and Communications. In your role will be responsible for increasing Appinio’s brand awareness and creating a proactive content and PR strategy to take our marketing activities to the next level. Furthermore, you will work closely together with our CEO, as well as with our Head of Marketing DACH.YOUR TASKS

Drive (global) PR and communication strategies 
Identify relevant international trends, develop interesting studies and create exciting content (press releases, articles, infographics, videos, pictures) that drives brand awareness 
Build a strong network and sustainable relationships with key media and publishing companies and keep them updated about our latest news and content creations 
Manage internal as well as external collaborations and projects

YOUR PROFILE 

Studies in marketing, PR, journalism or business administration or similar fields 
Minimum 3-5 years proven work experience in PR & Communications
Solid data and analytical skills as well as outstanding touch for language and exceptional writing skills
Self starter with great spirit and go-getter attitude
Relevant network of press & media contacts
German on native level, fluency in English, as well as outstanding communication skills

OUR BENEFITS 

Flexibility Policy - meaning you are free to take off as many paid vacation days as you need, no maximum
Work-from-anywhere Policy - meaning you have the chance to develop our amazing product anywhere in the world -within reason ;-)
Subsidized Urban Sports Club membership
All the hardware you need and your own MacBook
In case you're located in Hamburg you'll get a subsidized HVV ticket or if you're located in Hamburg or Berlin you'll get access to a mobility budget with the RYDES app
In case you're located in Hamburg you'll get access to our beautiful office in Hamburg's city center - terrace and BBQ included ;-)

 










 






ABOUT APPINIO


At Appinio, we help companies always make the right decisions through real-time market research. As the world’s largest opinion network, we collect millions of responses from consumers every day to allow our clients to turn their questions to insights in minutes. Over 2000+ companies worldwide rely on us to understand how their consumers think.
 
We started small in Hamburg back in 2014 but we’re now humbled to call the world our playground, with over +200 employees spread across 25 countries, 2000 international clients and a panel reach of 7 million, globally.
 
Appinio is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
 






Learn more about us:

 appinio.com    LinkedIn    Xing     Kununu    Instagram








",https://boards.eu.greenhouse.io/appinio/jobs/4004810101
(Senior) Customer Success Manager - DACH (m/f/d) ,Customer Success,Remote,,"


YOUR ROLE


Our customer’s success is our success. By supporting our clients achieve their goals and accessing the maximum value of consumer insights, we will continue to grow our long-standing relationships.We are looking for a (Senior) Customer Success Manager (m/f/d) to partner with a variety of clients, ensure a successful onboarding and guide them along their customer journey.In this role, you will focus on building relationships, work on customer retention, ensuring the happiness and success of Appinio’s clients.
 






YOUR TASKS



Strategic, proactive consulting along the customer journey on the use of real-time market research in various areas of the company
Full responsibility for our clients in terms of individual consumer insights needs
Implementation of onboardings and trainings (webinars, workshops, conferences) regarding potential use cases
Voice of the customer to our IT, sales, PR and marketing teams in the further development of our product 
Building and maintaining long-term, strong, trusting customer relationships 
Customer development and individually adapted upselling







YOUR PROFILE



Degree in psychology, business administration, market research or similar fields
Minimum 3-4 years experience in supporting and consulting of B2B customers - ideally in SaaS, management consulting or advertising/communication
Ideally you have a background in Market Research
Business fluent in English, as well as German at native speaker level
Excellent communication skills, hands-on mentality, pragmatism and proactivity

OUR BENEFITS 

Flexibility Policy - meaning you are free to take off as many paid vacation days as you need, no maximum
Work-from-anywhere Policy - meaning you have the chance to develop our amazing product anywhere in the world -within reason ;-)
Subsidized Urban Sports Club membership
All the hardware you need and your own MacBook
In case you're located in Hamburg you'll get a subsidized HVV ticket or if you're located in Hamburg or Berlin you'll get access to a mobility budget with the RYDES app
In case you're located in Hamburg you'll get access to our beautiful office in Hamburg's city center - terrace and BBQ included ;-)












 








ABOUT APPINIO


At Appinio, we help companies always make the right decisions through real-time market research. As the world’s largest opinion network, we collect millions of responses from consumers every day to allow our clients to turn their questions to insights in minutes. Over 2000+ companies worldwide rely on us to understand how their consumers think.
 
We started small in Hamburg back in 2014 but we’re now humbled to call the world our playground, with over +200 employees spread across 25 countries, 2000 international clients and a panel reach of 7 million, globally.
 
Appinio is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
 






Learn more about us:

 appinio.com    LinkedIn    Xing     Kununu    Instagram












 




",https://boards.eu.greenhouse.io/appinio/jobs/4067601101
General Application (m/f/d),Speculative Application,Remote,,"
Not the right job for you yet? We look forward to receiving your general application - maybe we will find a suitable position for you!
 

OUR BENEFITS 

Flexibility Policy - meaning you are free to take off as many paid vacation days as you need, no maximum
Work-from-anywhere Policy - meaning you have the chance to develop our amazing product anywhere in the world -within reason ;-)
Subsidized Urban Sports Club membership
All the hardware you need and your own MacBook
In case you're located in Hamburg you'll get a subsidized HVV ticket or if you're located in Hamburg or Berlin you'll get access to a mobility budget with the RYDES app
In case you're located in Hamburg you'll get access to our beautiful office in Hamburg's city center - terrace and BBQ included ;-)









Join Appinio and be part of one of Europe’s fastest growing startups. At Appinio, you will have the challenging and incredibly rewarding role to actively take part in shaping the future of digital market research. We are a dynamic team of 160+ people with a strong entrepreneurial spirit who believe in the disruptive vision of Appinio. You will act autonomously as part of an agile, intrinsically motivated team with flat hierarchies, a vibrant atmosphere and lots of ideas. The more ideas you share, the better. We love what we do, constantly challenge ourselves and try out new things. You are courageous and like to leave old thought patterns behind? Then this is where you need to be. 
Eager to join us on our mission? We look forward to receiving your application via appinio.de/careers. 








ABOUT APPINIO


Appinio empowers decision makers through real-time access to consumer opinions. As the world’s fastest market research solution, Appinio collects millions of answers globally from specific consumer groups - every day. We help over 1000+ global companies through our all-in-one survey platform to validate decisions in minutes and really put customer centricity into practice.
Appinio's mission is to democratize the power of consumer opinions. By making market research accessible to everyone, we help decision makers understand how people think, feel, and act. We believe that putting people's opinions front and center means a better shared future, for all.
Appinio is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.






Learn more about us:

 appinio.com    LinkedIn    Xing     Kununu    Instagram








 
 
 




",https://boards.eu.greenhouse.io/appinio/jobs/4001247101
Senior Content Operations Manager (m/f/d),Marketing,Remote,,"We are looking for a driven, passionate Senior Content Operations Manager (m/f/d) to join our amazing marketing team and be part of Appinio’s future growth around the world.In this role, you will have the responsibility to define and develop Appinio’s future content propositions by combining insights with creative ideas. In order to spread the excitement across several markets and industries, you will collaborate with our marketing, design, research and business development teams. You will support scaling our content creation processes to a global level to match the rocketing growth of Appinio’s products.
 
 
YOUR TASKS

Work alongside a team of content marketing, design, research, sales and business development colleagues to develop top notch content that excites our target audiences & is aligned with our marketing goals
Be in charge of the planning and execution of our global content creation projects in collaboration with our internal content marketing specialists as well as partners or external content creators
Set up and lead an organization structure, with which teams will produce industry specific content at speed, without compromising on standard of work
Create global and local content plans based on market needs and in cooperation with the respective country managers and sales directors

YOUR PROFILE

You have a degree in Marketing, Communications, Journalism or similar
You bring minimum 2+ years of work experience in project management, content operations and creative planning
Exceptional organizational and process skills; you love creating order out of chaos and collaborating with creative teams to get things done
Experience working in digital marketing and B2B, ideally in SaaS or Tech and within multinational organizations
German is a plus

OUR BENEFITS

Flexibility Policy - meaning you are free to take off as many paid vacation days as you need, no maximum
Work-from-anywhere Policy - meaning you have the chance to develop our amazing product anywhere in the world -within reason ;-)
Subsidized Urban Sports Club membership
All the hardware you need and your own MacBook
In case you're located in Hamburg you'll get a subsidized HVV ticket or if you're located in Hamburg or Berlin you'll get access to a mobility budget with the RYDES app
In case you're located in Hamburg you'll get access to our beautiful office in Hamburg's city center - terrace and BBQ included ;-)





ABOUT APPINIO


At Appinio, we help companies always make the right decisions through real-time market research. As the world’s largest opinion network, we collect millions of responses from consumers every day to allow our clients to turn their questions to insights in minutes. Over 2000+ companies worldwide rely on us to understand how their consumers think.
 
We started small in Hamburg back in 2014 but we’re now humbled to call the world our playground, with over +200 employees spread across 25 countries, 2000 international clients and a panel reach of 7 million, globally.
 
Appinio is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
 






Learn more about us:

 appinio.com    LinkedIn    Xing     Kununu    Instagram

 ",https://boards.eu.greenhouse.io/appinio/jobs/4083694101
Account Executive - DACH (m/f/d) ,Client Relations,Remote,,"


YOUR ROLE



Appinio is looking for a highly driven and passionate Account Executive (m/f/d) to join our strong team of 8+ sales reps in the DACH market. In this role you will be in charge of one of our exciting verticals where your expert knowledge is needed to coordinate all related account activities. This position gives you the chance to present the potential of Appinio to stakeholders on all levels and to create a trust-based commercial relationship with them.
Since we believe that each employee creates the most value when they work according to their specific expertise, you can choose between the following verticals:  Agencies, Media & Entertainment, Pharma & Life Sciences and Retail. 

 
YOUR TASKS

Representation of Appinio to prospects in the dedicated sector
Acquiring new customers and coaching them regarding potential applications of Appinio's agile SaaS solutions
Building a strong network 
Public Speaker opportunities at events and trade fair appearances

YOUR PROFILE

Minimum 1-2 years of experience in sales or other commercial functions
Meaningful experience in one of the verticals
Above-average degree in business administration, economics, psychology, media or similar fields  
Native level in German, as well as fluency in English
Empathy and a good sense for the needs of the person opposite you
Entrepreneurial mindset, problem-solver, and just simply an amazing person to be around with!

OUR BENEFITS 

Flexibility Policy - meaning you are free to take off as many paid vacation days as you need, no maximum
Work-from-anywhere Policy - meaning you have the chance to develop our amazing product anywhere in the world -within reason ;-)
Subsidized Urban Sports Club membership
All the hardware you need and your own MacBook
In case you're located in Hamburg you'll get a subsidized HVV ticket or if you're located in Hamburg or Berlin you'll get access to a mobility budget with the RYDES app
In case you're located in Hamburg you'll get access to our beautiful office in Hamburg's city center - terrace and BBQ included ;-)

 









 










ABOUT APPINIO


At Appinio, we help companies always make the right decisions through real-time market research. As the world’s largest opinion network, we collect millions of responses from consumers every day to allow our clients to turn their questions to insights in minutes. Over 2000+ companies worldwide rely on us to understand how their consumers think.
 
We started small in Hamburg back in 2014 but we’re now humbled to call the world our playground, with over +200 employees spread across 25 countries, 2000 international clients and a panel reach of 7 million, globally.
 
Appinio is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
 






Learn more about us:

 appinio.com    LinkedIn    Xing     Kununu    Instagram










 
 
 




",https://boards.eu.greenhouse.io/appinio/jobs/4017467101
"Accountant (""Bilanzbuchhalter"") (m/f/d) ",Finance,Remote,,"

YOUR ROLE
We are looking for an experienced and reliable Accountant (m/f/d) to join our finance team. In this highly responsible position, you will be in charge of diverse day-to-day accounting aspects of Appinio. As our Accountant (m/f/d) you will focus on developing and maintaining sound financial controls and work closely with our Head of Finance. In addition, you will be responsible for preparing our monthly and annual reports for internal and external stakeholders. 
You will be an ideal fit for this role if you have an excellent knowledge of debtors and creditors accounting, as well as German tax and accounting regulations. In addition, you are passionate about tech, love a fast-paced work environment and are looking for a high-impact role as well as the opportunity to develop a solid finance/accounting function.  
 
YOUR TASKS

Gather, monitor and record financial data (eg. sales revenues and liabilities)
Monitor and report on accounting discrepancies to internal and external stakeholders
Perform month-end and year-end close processes
Manage all accounting transactions from external stakeholders and ensure timely bank payments
Reconcile accounts payable and receivable

YOUR PROFILE

Minimum 2 years of work experience as a Financial Accountant or a similar role  - ideally in a start-up or other fast-paced environment 
Completed accounting apprenticeship, ideally with German additional qualification as ""Finanzbuchhalter""
Very comfortable with German tax and accounting standards, knowledge in UK/US-GAAP is a plus
Proven experience in Datev and MS Excel
In-depth understanding of business accounting procedures
KPI-driven and analytical mindset
Positive and helpful attitude, as well as a pragmatic approach
German skills at native-speaker-level as well as fluency in English

OUR BENEFITS 

Flexibility Policy - meaning you are free to take off as many paid vacation days as you need, no maximum
Work-from-anywhere Policy - meaning you have the chance to develop our amazing product anywhere in the world -within reason
Subsidized Urban Sports Club membership
All the hardware you need and your own MacBook
In case you're located in Hamburg you'll get a subsidized HVV ticket or if you're located in Hamburg or Berlin you'll get access to a mobility budget with the RYDES app
In case you're located in Hamburg you'll get access to our beautiful office in Hamburg's city center - terrace and BBQ included 

 






ABOUT APPINIO


At Appinio, we help companies always make the right decisions through real-time market research. As the world’s largest opinion network, we collect millions of responses from consumers every day to allow our clients to turn their questions to insights in minutes. Over 2000+ companies worldwide rely on us to understand how their consumers think.
 
We started small in Hamburg back in 2014 but we’re now humbled to call the world our playground, with over +200 employees spread across 25 countries, 2000 international clients and a panel reach of 7 million, globally.
 
Appinio is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.












 


Learn more about us:

 appinio.com    LinkedIn    Xing     Kununu    Instagram
 
 




",https://boards.eu.greenhouse.io/appinio/jobs/4066417101
